Country,Year,Mortality Rate,Oil Consumption per capita (tonnes per year),Population,GDP per capita (US$),Continent,GDP per capita (log US$)
Greece,1966,38.5,0.56,8613651,997,Europe,6.904750769961838
Hungary,1966,43.2,0.41,10178653,5342,Europe,8.583355393669907
Indonesia,1966,188.7,0.06,103561105,2193,Asia,7.693025748417888
India,1966,225.3,0.03,510992617,89,Asia,4.48863636973214
Ireland,1966,27.1,0.94,2888800,1074,Europe,6.97914527506881
Iceland,1966,18.5,2.77,195570,3215,Europe,8.07558263667172
Italy,1966,39.3,1.11,52519000,1402,Europe,7.2456550675945355
Japan,1966,22.7,1.02,98851000,1068,Asia,6.97354301952014
Kazakhstan,1966,35.4,1.58,11197568,14672,Asia,9.593696194496246
"Korea, Rep.",1966,81.7,0.07,29435571,133,Asia,4.890349128221754
Kuwait,1966,91.9,9.32,565463,4228,Asia,8.349484346990128
Lithuania,1966,39.8,2.78,3008050,4915,Europe,8.500047032581268
Mexico,1966,123.0,0.32,44180437,550,North America,6.309918278226516
Malaysia,1966,65.2,0.24,9340240,336,Asia,5.817111159963204
Netherlands,1966,17.9,2.21,12456251,1835,Europe,7.51479976048867
Norway,1966,19.0,1.57,3753012,2317,Europe,7.748028524432376
New Zealand,1966,22.5,1.13,2675900,2191,Oceania,7.692113339595466
Pakistan,1966,207.3,0.07,53199414,123,Asia,4.812184355372417
Peru,1966,187.4,0.38,12127990,503,South America,6.220590170099739
Philippines,1966,88.6,0.14,33704749,213,Asia,5.3612921657094255
Poland,1966,42.8,0.18,31681000,7472,Europe,8.918917979908679
Portugal,1966,80.3,0.33,8930990,575,Europe,6.354370040797351
Qatar,1966,62.4,0.9,73102,5430,Asia,8.599694412927981
Romania,1966,57.9,0.39,19215450,4773,Europe,8.470730317005897
Saudi Arabia,1966,15.8,3.98,5173237,21794,Asia,9.989389981536831
Singapore,1966,33.6,2.33,1934400,566,Asia,6.338594078203183
Slovak Republic,1966,18.8,0.58,4411666,33437,Europe,10.417418350255533
Sweden,1966,15.6,2.76,7807797,3454,Europe,8.147288258706624
Thailand,1966,117.5,0.08,31883754,165,Asia,5.10594547390058
Turkmenistan,1966,22.4,4.05,1957557,9460,Asia,9.154827662045925
Ukraine,1966,45.9,0.74,45809120,4016,Europe,8.298041661371565
United States,1966,26.4,2.85,196560000,4146,North America,8.329899292995725
Uzbekistan,1966,8.1,1.36,10504969,13864,Asia,9.537050831395442
South Africa,1966,61.6,0.3,19789771,718,Africa,6.576469569048224
United Arab Emirates,1967,128.1,2.38,191404,4860,Asia,8.48879371689454
Argentina,1967,37.0,1.01,22757014,1065,South America,6.970730078143525
Australia,1967,22.0,1.67,11799000,2580,Oceania,7.855544677915663
Austria,1967,30.5,0.88,7376998,1569,Europe,7.358193752733032
Azerbaijan,1967,17.7,3.78,4832000,27082,Asia,10.206624579542769
Bangladesh,1967,231.2,1.23,62104488,116,Asia,4.7535901911063645
Bulgaria,1967,36.7,0.64,8310226,8556,Europe,9.054388070202297
Belarus,1967,35.0,1.05,8785648,7285,Europe,8.893572718629306
Brazil,1967,142.6,0.19,89323288,348,South America,5.8522024797744745
Canada,1967,25.0,2.95,20412000,3217,North America,8.076204527239026
Switzerland,1967,20.7,1.55,5991785,2960,Europe,7.992944547318106
Chile,1967,94.0,0.43,9326268,756,South America,6.628041376179533
China,1967,145.8,0.02,754550000,96,Asia,4.564348191467836
Colombia,1967,108.0,0.2,19343961,301,South America,5.707110264748875
Germany,1967,101.2,1.3,76951336,1035,Europe,6.942156705699469
Denmark,1967,19.0,2.53,4835354,2700,Europe,7.90100705199242
Algeria,1967,245.3,0.13,12897115,261,Africa,5.564520407322694
Ecuador,1967,145.8,0.14,5658446,451,South America,6.111467339502679
Spain,1967,38.3,0.62,32682947,968,Europe,6.875232087276577
Finland,1967,18.4,1.58,4605744,2034,Europe,7.617759576608505
France,1967,20.6,1.33,50334012,2363,Europe,7.767687277186908
United Kingdom,1967,22.2,1.55,54943600,2058,Europe,7.629489916393995
Greece,1967,37.4,0.66,8684088,1068,Europe,6.97354301952014
Hungary,1967,42.0,0.43,10216604,4317,Europe,8.370315995555478
Indonesia,1967,183.0,0.05,106260749,53,Asia,3.970291913552122
India,1967,222.7,0.03,521987069,96,Asia,4.564348191467836
Ireland,1967,25.5,1.04,2902450,1152,Europe,7.049254841255837
Iceland,1967,17.9,2.6,198751,3125,Europe,8.047189562170502
Italy,1967,37.8,1.22,52900500,1533,Europe,7.334981878871814
Japan,1967,21.0,1.23,99879000,1239,Asia,7.122059881629142
Kazakhstan,1967,36.4,0.64,11491228,1945,Asia,7.573017256052546
"Korea, Rep.",1967,76.4,0.11,30130983,161,Asia,5.081404364984463
Kuwait,1967,85.7,8.23,621242,3930,Asia,8.276394704863307
Lithuania,1967,27.2,2.79,3044400,5029,Europe,8.522976436171964
Mexico,1967,118.7,0.33,45656963,581,North America,6.364750756851911
Malaysia,1967,62.4,0.24,9582086,332,Asia,5.805134968916488
Netherlands,1967,17.4,2.24,12598201,1991,Europe,7.596392304064196
Norway,1967,18.2,1.61,3784539,2514,Europe,7.829630389150193
New Zealand,1967,22.0,1.17,2724100,2188,Oceania,7.690743163541872
Pakistan,1967,202.3,0.08,54629793,136,Asia,4.912654885736052
Peru,1967,181.1,0.37,12481626,496,South America,6.206575926724928
Philippines,1967,86.9,0.16,34616857,223,Asia,5.407171771460119
Poland,1967,40.4,0.19,31987155,7287,Europe,8.893847217670283
Portugal,1967,77.2,0.36,8874520,646,Europe,6.470799503782602
Qatar,1967,62.4,0.83,82517,5430,Asia,8.599694412927981
Romania,1967,64.0,0.43,19534242,7465,Europe,8.91798070997329
Saudi Arabia,1967,8.5,3.88,5381026,13883,Asia,9.538420349034803
Singapore,1967,31.8,2.86,1977600,626,Asia,6.439350371100098
Slovak Republic,1967,19.1,0.64,4449367,34263,Europe,10.441821333718718
Sweden,1967,14.9,2.67,7867931,3720,Europe,8.221478947267192
Thailand,1967,112.9,0.09,32839341,171,Asia,5.14166355650266
Turkmenistan,1967,19.8,5.26,2018024,12666,Asia,9.446676517076376
Ukraine,1967,21.3,0.97,46235370,10085,Europe,9.218804450388312
United States,1967,25.7,2.92,198712000,4336,North America,8.374707543119483
Uzbekistan,1967,14.1,1.55,10881533,13779,Asia,9.530900972993903
South Africa,1967,39.1,0.32,20410677,775,Africa,6.652863029353347
United Arab Emirates,1968,117.6,0.32,213582,7702,Asia,8.949235314374855
Argentina,1968,34.9,1.02,23112971,1143,South America,7.04141166379481
Australia,1968,21.9,1.8,12009000,2724,Oceania,7.909856667269403
Austria,1968,29.7,1.02,7415403,1677,Europe,7.424761761823209
Azerbaijan,1968,17.3,2.14,4948500,14102,Asia,9.554071910278985
Bangladesh,1968,229.6,0.63,63995652,116,Asia,4.7535901911063645
Bulgaria,1968,35.6,0.75,8369603,16526,Europe,9.71269017726113
Belarus,1968,30.2,1.17,8874552,7377,Europe,8.906122330884303
Brazil,1968,139.4,0.22,91659246,370,South America,5.91350300563827
Canada,1968,24.0,3.08,20744000,3462,North America,8.149601735736155
Switzerland,1968,19.9,1.7,6067714,3121,Europe,8.045908742270779
Chile,1968,86.7,0.44,9491502,757,South America,6.6293632534374485
China,1968,142.4,0.02,774510000,91,Asia,4.51085950651685
Colombia,1968,104.6,0.22,19872503,299,South America,5.700443573390687
Germany,1968,27.1,1.45,77294314,8345,Europe,9.029417836095936
Denmark,1968,18.1,2.8,4864883,2776,Europe,7.9287663216266955
Algeria,1968,244.6,0.13,13190975,292,Africa,5.676753802268282
Ecuador,1968,142.8,0.16,5825663,443,South America,6.093569770045136
Spain,1968,36.1,0.65,33113134,950,Europe,6.856461984594587
Finland,1968,17.6,1.79,4626469,1907,Europe,7.553286605600419
France,1968,19.9,1.43,50817020,2553,Europe,7.845024417241484
United Kingdom,1968,21.8,1.64,55211700,1951,Europe,7.576097340623111
Greece,1968,36.0,0.67,8740765,1154,Europe,7.050989447068045
Hungary,1968,40.9,0.45,10255815,4822,Europe,8.480944058741116
Indonesia,1968,177.2,0.05,109138723,64,Asia,4.1588830833596715
India,1968,220.2,0.03,533431909,99,Asia,4.59511985013459
Ireland,1968,24.1,1.15,2915550,1124,Europe,7.024649030453636
Iceland,1968,17.2,2.65,201488,2354,Europe,7.763871287820222
Italy,1968,36.4,1.34,53235750,1651,Europe,7.409136443920128
Japan,1968,19.6,1.41,101011000,1451,Asia,7.280008252884188
Kazakhstan,1968,71.4,1.32,11777849,3660,Asia,8.205218426395412
"Korea, Rep.",1968,71.1,0.16,30838302,198,Asia,5.288267030694535
Kuwait,1968,80.0,7.31,681117,3909,Asia,8.271036865792954
Lithuania,1968,26.3,2.01,3078850,10502,Europe,9.259320994197804
Mexico,1968,114.6,0.35,47170337,622,North America,6.432940092739179
Malaysia,1968,59.9,0.24,9821308,339,Asia,5.82600010738045
Netherlands,1968,16.9,2.38,12729721,2185,Europe,7.68937110752969
Norway,1968,17.5,1.75,3816486,2662,Europe,7.8868329989550565
New Zealand,1968,21.6,1.19,2748100,1885,Oceania,7.541683099882111
Pakistan,1968,198.1,0.09,56124743,143,Asia,4.962844630259907
Peru,1968,175.4,0.37,12843249,446,South America,6.100318952020064
Philippines,1968,85.5,0.18,35544973,242,Asia,5.488937726156687
Poland,1968,38.8,0.24,32294655,8511,Europe,9.049114723476961
Portugal,1968,75.0,0.39,8836650,719,Europe,6.577861357721047
Qatar,1968,62.4,1.0,93022,5430,Asia,8.599694412927981
Romania,1968,65.5,0.45,19799831,5651,Europe,8.639587799629844
Saudi Arabia,1968,61.4,3.77,5604582,747,Asia,6.616065185132817
Singapore,1968,30.0,3.5,2012000,708,Asia,6.56244409369372
Slovak Republic,1968,18.5,0.7,4483915,35014,Europe,10.463503260492878
Sweden,1968,14.4,3.0,7912273,3926,Europe,8.275376374836407
Thailand,1968,108.2,0.11,33807357,179,Asia,5.187385805840755
