Country,Year,Mortality Rate,Oil Consumption per capita (tonnes per year),Population,GDP per capita (US$),Continent,GDP per capita (log US$)
Australia,1972,20.3,1.95,13177000,3949,Oceania,8.28121766128665
Austria,1972,28.1,1.45,7544201,2924,Europe,7.980707820869669
Azerbaijan,1972,8.5,0.87,5391450,14795,Asia,9.60204456483431
Bangladesh,1972,227.5,0.01,69346705,90,Asia,4.499809670330265
Bulgaria,1972,30.2,1.2,8576200,7776,Europe,8.958797346140274
Belarus,1972,48.5,1.57,9188968,24547,Europe,10.10834492616302
Brazil,1972,126.0,0.32,101194394,577,South America,6.3578422665081
Canada,1972,19.9,3.46,22218463,5106,North America,8.53817159780143
Switzerland,1972,16.7,2.17,6260956,8260,Europe,9.019179866515024
Chile,1972,77.8,0.54,10145765,1166,South America,7.061334366910438
China,1972,101.4,0.05,862030000,131,Asia,4.875197323201151
Colombia,1972,90.1,0.27,21898055,395,South America,5.978885764901122
Germany,1972,24.0,1.94,78688452,3809,Europe,8.245121966478605
Denmark,1972,14.9,3.89,4991596,4654,Europe,8.445482343862237
Algeria,1972,228.0,0.17,14439748,468,Africa,6.148468295917647
Ecuador,1972,129.6,0.19,6533630,487,South America,6.18826412308259
Spain,1972,27.2,0.94,34604469,1708,Europe,7.443078374348516
Finland,1972,14.6,2.55,4639657,3177,Europe,8.063692634269517
France,1972,16.6,2.21,52637888,3865,Europe,8.259716961021523
United Kingdom,1972,20.0,1.98,56086065,3030,Europe,8.016317898503415
Greece,1972,27.9,0.97,8888628,1899,Europe,7.549082710812286
Hungary,1972,38.3,0.7,10398489,8586,Europe,9.057888248784506
Indonesia,1972,155.4,0.06,121504145,90,Asia,4.499809670330265
India,1972,208.1,0.04,582837973,122,Asia,4.804021044733257
Ireland,1972,21.4,1.64,3036850,2080,Europe,7.640123172695364
Iceland,1972,14.8,2.65,209137,4014,Europe,8.297543529356284
Italy,1972,29.8,1.82,54381345,2671,Europe,7.890208213109961
Japan,1972,15.7,2.2,107188000,2967,Asia,7.995306620290822
Kazakhstan,1972,83.2,0.74,12611997,1299,Asia,7.1693500166706
"Korea, Rep.",1972,53.6,0.3,33505406,324,Asia,5.780743515792329
Kuwait,1972,61.9,5.35,913785,4870,Asia,8.490849216076635
Lithuania,1972,20.8,2.36,3213622,11535,Europe,9.353141170607854
Mexico,1972,99.1,0.42,53543436,844,North America,6.738152494595957
Malaysia,1972,50.5,0.31,10801619,466,Asia,6.144185634125646
Netherlands,1972,14.7,3.03,13328593,4104,Europe,8.319717386850606
Norway,1972,15.0,2.17,3933004,4413,Europe,8.392310009269547
New Zealand,1972,19.9,1.51,2903900,3294,Oceania,8.099857910737585
Pakistan,1972,184.1,0.06,62509565,150,Asia,5.0106352940962555
Peru,1972,155.6,0.29,14292437,642,South America,6.464588303689961
Philippines,1972,82.3,0.22,39412479,230,Asia,5.438079308923196
Poland,1972,32.4,0.32,33055650,10954,Europe,9.301459965343666
Portugal,1972,57.5,0.66,8630430,1302,Europe,7.171656822768514
Qatar,1972,57.9,0.82,148338,3439,Asia,8.142936010432265
Romania,1972,46.8,0.56,20657957,4583,Europe,8.430109084509125
Saudi Arabia,1972,159.6,3.49,6724260,1437,Asia,7.270312886079025
Singapore,1972,24.1,3.83,2152400,1264,Asia,7.142036574706803
Slovak Republic,1972,11.4,1.06,4596622,20883,Europe,9.946690709836776
Sweden,1972,12.3,3.45,8122300,6027,Europe,8.704004653483045
Thailand,1972,89.8,0.18,37834384,216,Asia,5.375278407684165
Turkmenistan,1972,14.3,5.06,2328374,15446,Asia,9.64510534912921
Ukraine,1972,31.0,1.51,47974187,11150,Europe,9.319194776888265
United States,1972,21.5,3.64,209896000,6094,North America,8.715059959545654
Uzbekistan,1972,65.0,0.82,12733242,1547,Asia,7.344072850573066
South Africa,1972,46.2,0.43,23698507,1034,Africa,6.9411900550683745
United Arab Emirates,1973,72.8,1.22,441546,15563,Asia,9.65265158120501
Argentina,1973,68.2,0.92,25020588,2100,South America,7.649692623711514
Australia,1973,19.4,2.09,13380000,4770,Oceania,8.470101583882387
Austria,1973,26.9,1.57,7586115,3890,Europe,8.266164436612492
Azerbaijan,1973,33.2,1.31,5493900,47891,Asia,10.776682874304697
Bangladesh,1973,226.9,0.01,71144818,113,Asia,4.727387818712341
Bulgaria,1973,29.5,1.26,8620967,7427,Europe,8.912877287669296
Belarus,1973,41.3,1.57,9257272,23510,Europe,10.065181141534115
Brazil,1973,122.6,0.39,103666904,806,South America,6.692083742506628
Canada,1973,18.9,3.61,22491777,5858,North America,8.675563527387679
Switzerland,1973,15.7,2.32,6307347,11323,Europe,9.33459133431404
Chile,1973,75.5,0.5,10307842,1632,South America,7.397561535524052
China,1973,95.9,0.06,881940000,157,Asia,5.056245805348308
Colombia,1973,86.2,0.26,22396318,460,South America,6.131226489483141
Germany,1973,23.1,2.06,78936666,5046,Europe,8.526351129201004
Denmark,1973,13.9,3.58,5021861,6119,Europe,8.71915396346254
Algeria,1973,220.8,0.18,14786469,588,Africa,6.376726947898627
Ecuador,1973,125.1,0.21,6720443,579,South America,6.361302477572996
Spain,1973,25.2,1.12,34988947,2247,Europe,7.717351272185329
Finland,1973,13.9,2.84,4666081,4173,Europe,8.336390480591552
France,1973,15.9,2.45,53053660,4984,Europe,8.51398806046729
United Kingdom,1973,19.4,2.02,56194527,3426,Europe,8.139148678884066
Greece,1973,27.6,1.12,8929086,2502,Europe,7.824845691026856
Hungary,1973,38.7,0.78,10432055,10354,Europe,9.245128197461847
Indonesia,1973,150.4,0.07,124709058,130,Asia,4.867534450455582
India,1973,204.4,0.04,596107483,143,Asia,4.962844630259907
Ireland,1973,21.1,1.75,3085950,2424,Europe,7.793174347189205
Iceland,1973,14.2,3.08,212317,5437,Europe,8.600982717145921
Italy,1973,27.6,1.9,54751406,3205,Europe,8.07246736935477
Japan,1973,14.8,2.49,108707000,3974,Asia,8.287528423111763
Kazakhstan,1973,81.2,0.83,12789985,1586,Asia,7.368970402194793
"Korea, Rep.",1973,50.6,0.36,34103149,406,Asia,6.0063531596017325
Kuwait,1973,58.2,4.71,970527,5573,Asia,8.625688787569537
Lithuania,1973,21.3,1.23,3244438,9673,Europe,9.177093778182547
Mexico,1973,95.4,0.43,55228203,1000,North America,6.907755278982137
Malaysia,1973,47.8,0.35,11062664,692,Asia,6.539585955617669
Netherlands,1973,14.1,3.09,13439322,5345,Europe,8.583916823459145
Norway,1973,14.3,2.16,3960612,5689,Europe,8.646289764750648
New Zealand,1973,19.4,1.56,2961300,4323,Oceania,8.371704884667631
Pakistan,1973,181.3,0.06,64285624,99,Asia,4.59511985013459
Peru,1973,150.9,0.33,14674785,749,South America,6.618738983517219
Philippines,1973,82.1,0.25,40406234,282,Asia,5.641907070938114
Poland,1973,30.5,0.35,33357200,10620,Europe,9.27049429479593
Portugal,1973,52.4,0.7,8633100,1747,Europe,7.465655310134056
Qatar,1973,54.1,0.98,163734,4848,Asia,8.48632152774915
Romania,1973,44.9,0.63,20835681,10768,Europe,9.284334051884509
Saudi Arabia,1973,149.1,3.52,7088758,2108,Asia,7.653494909661253
Singapore,1973,22.1,3.52,2193000,1685,Asia,7.429520842786462
Slovak Republic,1973,23.8,1.18,4641445,15014,Europe,9.616738378132947
Sweden,1973,11.6,3.55,8136312,7301,Europe,8.895766604056085
Thailand,1973,85.5,0.19,38873060,278,Asia,5.627621113690637
Turkmenistan,1973,14.0,5.04,2393323,16400,Asia,9.70503661381229
Ukraine,1973,30.1,1.1,48301548,9382,Europe,9.146548238888403
United States,1973,20.6,3.8,211909000,6726,North America,8.813735892300215
Uzbekistan,1973,32.2,1.17,13107928,2325,Asia,7.751475318021456
South Africa,1973,44.0,0.46,24382513,1364,Africa,7.218176838403408
United Arab Emirates,1974,65.9,1.61,491955,13111,Asia,9.481206851499401
Argentina,1974,66.2,0.9,25449754,2846,South America,7.953669778649798
Australia,1974,18.4,2.12,13723000,6482,Oceania,8.776784383701493
Austria,1974,25.2,1.4,7599038,4630,Europe,8.440312147080279
Azerbaijan,1974,61.4,1.43,5594100,23569,Asia,10.067687568216387
Bangladesh,1974,225.6,0.01,72947807,171,Asia,5.14166355650266
Bulgaria,1974,29.0,1.3,8678745,7646,Europe,8.941937914256359
Belarus,1974,45.1,0.83,9317584,10819,Europe,9.289059126687574
Brazil,1974,119.3,0.41,106167372,1034,South America,6.9411900550683745
Canada,1974,17.9,3.63,22807969,7056,North America,8.861633597686627
Switzerland,1974,14.8,2.06,6341405,11323,Europe,9.33459133431404
Chile,1974,71.1,0.48,10472743,1547,South America,7.344072850573066
China,1974,90.3,0.07,900350000,160,Asia,5.075173815233827
Colombia,1974,82.2,0.28,22897871,540,South America,6.29156913955832
Germany,1974,22.0,1.87,78967433,5639,Europe,8.637462023807181
Denmark,1974,13.1,3.18,5045297,6770,Europe,8.820256365906321
Algeria,1974,212.6,0.2,15153602,871,Africa,6.769641976852503
Ecuador,1974,120.1,0.23,6911123,954,South America,6.860663671448287
Spain,1974,23.3,1.16,35373335,2749,Europe,7.918992488165245
Finland,1974,13.1,2.46,4690574,5297,Europe,8.574895901544526
France,1974,15.4,2.31,53415250,5345,Europe,8.583916823459145
United Kingdom,1974,18.7,1.87,56229974,3666,Europe,8.20685642839965
Greece,1974,27.3,1.05,8962022,2828,Europe,7.947325027016463
Hungary,1974,37.9,0.85,10478720,12918,Europe,9.466376966592419
Indonesia,1974,145.6,0.08,127945196,201,Asia,5.303304908059076
India,1974,200.3,0.04,609721951,163,Asia,5.093750200806762
Ireland,1974,20.6,1.71,3137500,2516,Europe,7.830425617820331
Iceland,1974,13.5,2.74,215209,7040,Europe,8.859363449152088
Italy,1974,25.3,1.84,55110868,3621,Europe,8.19450550976564
Japan,1974,14.0,2.36,110162000,4353,Asia,8.378620541552298
Kazakhstan,1974,79.4,1.77,12972497,3351,Asia,8.11701408773731
"Korea, Rep.",1974,48.1,0.37,34692266,563,Asia,6.333279628139691
Kuwait,1974,54.6,4.05,1030426,12622,Asia,9.443196602144186
Lithuania,1974,22.3,1.82,3273894,14120,Europe,9.555347511047232
Mexico,1974,91.8,0.49,56945880,1264,North America,7.142036574706803
Malaysia,1974,45.0,0.34,11335187,837,Asia,6.729824070489475
Netherlands,1974,13.6,2.62,13545056,6440,Europe,8.770283819098399
Norway,1974,13.6,1.93,3985258,6811,Europe,8.826294231241318
New Zealand,1974,18.9,1.46,3023700,4610,Oceania,8.435983135990694
Pakistan,1974,178.5,0.06,66149169,134,Asia,4.897839799950911
Peru,1974,146.4,0.37,15057175,920,South America,6.824373670043086
Philippines,1974,82.1,0.23,41388324,377,Asia,5.932245187448011
Poland,1974,29.0,0.37,33678899,9998,Europe,9.210140351973516
Portugal,1974,47.9,0.72,8754365,2000,Europe,7.600902459542082
Qatar,1974,50.7,1.24,179299,13393,Asia,9.502487461387123
Romania,1974,44.0,0.57,21029429,2731,Europe,7.912423121473705
Saudi Arabia,1974,139.6,3.51,7483506,6068,Asia,8.710784340468424
Singapore,1974,19.6,3.41,2229800,2341,Asia,7.75833346749091
Slovak Republic,1974,21.1,1.2,4689623,20435,Europe,9.925004395998378
Sweden,1974,11.0,3.21,8159955,8089,Europe,8.998260393017953
Thailand,1974,81.4,0.19,39900961,343,Asia,5.8377304471659395
Turkmenistan,1974,13.7,5.13,2459325,17433,Asia,9.766120240743215
Ukraine,1974,29.3,0.73,48602694,6330,Europe,8.753055515138222
United States,1974,19.7,3.6,213854000,7225,North America,8.885302512980633
Uzbekistan,1974,83.3,1.9,13494711,4251,Asia,8.35490952835879
South Africa,1974,128.6,0.44,25077016,1650,Africa,7.408530566894626
United Arab Emirates,1975,59.6,2.04,543394,27090,Asia,10.20691993507914
Argentina,1975,63.4,0.84,25875558,2026,South America,7.613818684808629
Australia,1975,17.3,2.06,13893000,7003,Oceania,8.854093907655518
Austria,1975,23.1,1.41,7578903,5285,Europe,8.572627898304338
Azerbaijan,1975,63.9,1.86,5689050,12090,Asia,9.400133943608838
Bangladesh,1975,223.8,0.02,74700345,260,Asia,5.560681631015528
Bulgaria,1975,28.6,1.37,8720742,7684,Europe,8.946895523888447
Belarus,1975,45.1,0.83,9367000,12004,Europe,9.392995206560258
Brazil,1975,115.8,0.41,108700515,1188,South America,7.080026499922591
Canada,1975,16.9,3.51,23143275,7536,North America,8.927446816256198
Switzerland,1975,13.8,1.97,6338632,11323,Europe,9.33459133431404
Chile,1975,64.3,0.41,10639531,716,South America,6.573680166960646
China,1975,84.8,0.07,916395000,178,Asia,5.181783550292085
Colombia,1975,78.1,0.27,23403731,559,South America,6.326149473155099
Germany,1975,20.8,1.81,78673554,6236,Europe,8.738094230177667
Denmark,1975,12.3,3.1,5059862,7999,Europe,8.987071812848821
Algeria,1975,203.7,0.21,15724692,989,Africa,6.8966943316227125
Ecuador,1975,114.8,0.22,7105786,1088,South America,6.992096427415888
Spain,1975,21.7,1.19,35757900,3209,Europe,8.073714641109857
Finland,1975,12.3,2.53,4711440,6255,Europe,8.741136422901011
France,1975,15.0,2.09,53715733,6717,Europe,8.812396905266864
United Kingdom,1975,18.0,1.64,56225800,4299,Europe,8.366137716496281
Greece,1975,26.4,1.1,9046541,3153,Europe,8.056109659545061
Hungary,1975,35.4,0.96,10540525,16192,Europe,9.692272572087193
Indonesia,1975,141.0,0.08,131213215,232,Asia,5.44673737166631
India,1975,195.9,0.04,623524219,157,Asia,5.056245805348308
Ireland,1975,20.0,1.64,3189550,2973,Europe,7.997326822998097
Iceland,1975,12.9,2.64,217979,6454,Europe,8.772455372611907
Italy,1975,23.1,1.72,55441001,4106,Europe,8.32020459757888
Japan,1975,13.3,2.2,111573000,4674,Asia,8.449770515098804
Kazakhstan,1975,77.9,1.13,13158942,2076,Asia,7.638198244285779
"Korea, Rep.",1975,45.9,0.41,35280725,617,Asia,6.424869023905388
Kuwait,1975,51.2,2.94,1095998,10969,Asia,9.302828391411333
Lithuania,1975,22.8,2.62,3301652,11328,Europe,9.3350328159335
Mexico,1975,88.3,0.53,58691882,1499,North America,7.312553498102598
Malaysia,1975,42.2,0.36,11617947,800,Asia,6.684611727667927
Netherlands,1975,13.1,2.56,13666335,7335,Europe,8.900412690577083
Norway,1975,12.9,2.0,4007313,8204,Europe,9.012377119192271
New Zealand,1975,18.3,1.39,3083100,4171,Oceania,8.335911094196945
Pakistan,1975,176.0,0.06,68126999,164,Asia,5.099866427824199
Peru,1975,142.1,0.38,15441497,1096,South America,6.999422467507961
Philippines,1975,82.0,0.24,42394433,398,Asia,5.986452005284438
Poland,1975,27.8,0.4,34015199,12123,Europe,9.402859753746583
Portugal,1975,43.6,0.74,9093470,2127,Europe,7.6624678152002375
Qatar,1975,47.7,1.38,195043,12883,Asia,9.463663891791525
Romania,1975,42.8,0.64,21293583,13779,Europe,9.530900972993903
Saudi Arabia,1975,130.6,2.5,7897544,5922,Asia,8.686429508661536
Singapore,1975,17.2,3.28,2262600,2489,Asia,7.819636302367592
Slovak Republic,1975,22.3,1.31,4739105,6405,Europe,8.764834214330834
Sweden,1975,10.3,3.15,8192437,10117,Europe,9.22197245620589
Thailand,1975,77.4,0.19,40908471,363,Asia,5.8944028342648505
Turkmenistan,1975,14.9,5.19,2525760,21816,Asia,9.990398924525424
Ukraine,1975,28.7,1.11,48892187,10563,Europe,9.265112607823163
United States,1975,18.8,3.5,215973000,7801,North America,8.962007209588313
Uzbekistan,1975,45.5,1.7,13894347,5974,Asia,8.695171998776056
South Africa,1975,122.2,0.45,25777964,1664,Africa,7.416979621381154
United Arab Emirates,1976,53.8,2.57,614177,31282,Asia,10.350798131234187
Argentina,1976,59.9,0.86,26290257,1946,South America,7.57353126274595
Australia,1976,16.2,2.12,14033000,7486,Oceania,8.920789888464375
Austria,1976,21.0,1.53,7565525,5678,Europe,8.644354337032917
Azerbaijan,1976,68.4,1.83,5781000,9640,Asia,9.17367638760459
Bangladesh,1976,221.3,0.02,76380080,132,Asia,4.882801922586371
Bulgaria,1976,28.0,1.42,8758599,3633,Europe,8.197814032221203
Belarus,1976,33.1,0.91,9411000,12468,Europe,9.430920640887228
Brazil,1976,112.3,0.43,111286504,1376,South America,7.226936018493289
Canada,1976,16.0,3.65,23449808,8838,North America,9.086815885690685
Switzerland,1976,12.9,2.04,6302504,11323,Europe,9.33459133431404
Chile,1976,56.5,0.42,10804869,956,South America,6.862757913051401
China,1976,79.5,0.08,930685000,165,Asia,5.10594547390058
Colombia,1976,74.0,0.28,23913002,641,South America,6.46302945692067
Germany,1976,19.6,1.96,78336950,6634,Europe,8.799963219506997
Denmark,1976,11.6,3.3,5072596,8787,Europe,9.081028635495842
Algeria,1976,194.1,0.23,16500516,1074,Africa,6.97914527506881
Ecuador,1976,109.5,0.24,7304349,1244,South America,7.126087273299125
Spain,1976,20.2,1.34,36137812,3279,Europe,8.095293776844649
Finland,1976,11.4,2.71,4725664,6739,Europe,8.815666824946216
France,1976,14.5,2.25,53966558,6899,Europe,8.839131752546109
United Kingdom,1976,17.2,1.62,56211968,4138,Europe,8.327967858305488
Greece,1976,25.2,1.16,9188150,3390,Europe,8.128585200374497
Hungary,1976,32.2,0.99,10598677,19465,Europe,9.876373260044556
Indonesia,1976,136.6,0.09,134521025,277,Asia,5.6240175061873385
India,1976,190.9,0.04,637451448,161,Asia,5.081404364984463
Ireland,1976,19.1,1.64,3238050,2919,Europe,7.978996370854115
Iceland,1976,12.2,2.67,220154,7583,Europe,8.933664178700935
Italy,1976,21.1,1.78,55718260,4033,Europe,8.302265794873367
Japan,1976,12.5,2.26,112775000,5197,Asia,8.555836815008442
Kazakhstan,1976,76.6,1.84,13346173,3828,Asia,8.250097752572845
"Korea, Rep.",1976,44.1,0.45,35848523,834,Asia,6.726233402358747
Kuwait,1976,47.9,3.28,1168791,11235,Asia,9.326789184619429
Lithuania,1976,22.7,2.64,3328664,11504,Europe,9.350450079960828
Mexico,1976,84.8,0.57,60452543,1470,North America,7.293017679772782
Malaysia,1976,39.6,0.39,11910081,927,Asia,6.831953565565855
Netherlands,1976,12.6,2.86,13774037,7925,Europe,8.977777598745481
Norway,1976,12.2,2.23,4026152,8927,Europe,9.096835671179361
New Zealand,1976,17.7,1.42,3110500,4373,Oceania,8.38320455141292
Pakistan,1976,173.7,0.06,70230923,187,Asia,5.231108616854587
Peru,1976,138.3,0.37,15826813,1019,South America,6.926577033222725
Philippines,1976,81.9,0.24,43474370,445,Asia,6.09807428216624
Poland,1976,27.0,0.43,34356300,3177,Europe,8.063692634269517
Portugal,1976,39.4,0.76,9355810,2173,Europe,7.6838639802564295
Qatar,1976,44.9,1.79,210990,15566,Asia,9.652844327519334
Romania,1976,40.7,0.71,21551634,3322,Europe,8.10832229017324
Saudi Arabia,1976,122.3,2.77,8319556,7693,Asia,8.948066103458935
Singapore,1976,15.7,3.8,2293300,2758,Asia,7.922261058353247
Slovak Republic,1976,9.9,1.37,4789507,26294,Europe,10.17709605525655
Sweden,1976,9.8,3.53,8222286,10868,Europe,9.293577970546238
Thailand,1976,73.7,0.2,41882128,405,Asia,6.003887067106539
Turkmenistan,1976,14.8,4.59,2592280,19603,Asia,9.883437894730424
Ukraine,1976,28.1,1.24,49144535,9821,Europe,9.192278229157774
United States,1976,17.9,3.72,218035000,8592,North America,9.058586816748646
Uzbekistan,1976,45.4,1.18,14307397,5134,Asia,8.543640361431086
South Africa,1976,116.2,0.45,26480300,1554,Africa,7.348587530927593
United Arab Emirates,1977,48.5,3.28,706861,35186,Asia,10.468403555198991
Argentina,1977,55.7,0.89,26713780,2125,South America,7.661527081358517
Australia,1977,15.2,2.18,14192000,7775,Oceania,8.958668737047434
Austria,1977,19.4,1.47,7568430,6810,Europe,8.826147399143558
Azerbaijan,1977,43.4,2.09,5876150,10106,Asia,9.220884585851854
Bangladesh,1977,218.1,0.02,78137788,123,Asia,4.812184355372417
Bulgaria,1977,27.2,1.47,8804183,12292,Europe,9.416703923250376
Belarus,1977,43.2,0.72,9463000,3073,Europe,8.030409562130485
Brazil,1977,108.7,0.43,113939886,1547,South America,7.344072850573066
Canada,1977,15.1,3.64,23725843,8949,North America,9.099297073182859
Switzerland,1977,12.1,2.06,6281174,11191,Europe,9.322865162818028
Chile,1977,48.8,0.43,10969861,1273,South America,7.149131598557407
China,1977,74.5,0.09,943455000,185,Asia,5.220355825078324
Colombia,1977,69.8,0.28,24443926,796,South America,6.679599185844383
Germany,1977,18.3,1.94,78159814,7682,Europe,8.94663520890585
Denmark,1977,11.1,3.25,5088419,9783,Europe,9.18840146445743
Algeria,1977,184.3,0.26,17134192,1223,Africa,7.109062135687172
Ecuador,1977,104.7,0.29,7506665,1468,South America,7.291656209174461
Spain,1977,18.7,1.25,36511638,3627,Europe,8.196161139282902
Finland,1977,10.6,2.64,4738902,7069,Europe,8.863474306170954
France,1977,13.9,2.15,54221988,7566,Europe,8.931419805192975
United Kingdom,1977,16.4,1.63,56193492,4681,Europe,8.45126704130007
Greece,1977,23.8,1.16,9308479,3886,Europe,8.265135629937385
Hungary,1977,29.4,1.05,10648031,9348,Europe,9.142917695658749
Indonesia,1977,132.5,0.1,137861540,332,Asia,5.805134968916488
India,1977,185.6,0.04,651685628,186,Asia,5.225746673713202
Ireland,1977,18.0,1.72,3282200,3427,Europe,8.139440521874608
Iceland,1977,11.5,2.67,221799,9957,Europe,9.206031100388085
Italy,1977,19.5,1.73,55955411,4603,Europe,8.434463543817241
Japan,1977,11.8,2.3,113872000,6335,Asia,8.75384509275524
Kazakhstan,1977,75.3,0.91,13543521,2865,Asia,7.9603236291488395
"Korea, Rep.",1977,42.2,0.53,36411795,1055,Asia,6.961296045910167
Kuwait,1977,44.8,3.0,1247225,11335,Asia,9.335650562941629
Lithuania,1977,22.2,1.38,3355036,7609,Europe,8.937087036176523
Mexico,1977,81.4,0.57,62262505,1315,North America,7.181591944611865
Malaysia,1977,37.1,0.43,12218924,1075,Asia,6.980075940561763
Netherlands,1977,12.1,2.72,13856185,9166,Europe,9.123256265069069
Norway,1977,11.5,2.19,4043205,10266,Europe,9.236592743120248
New Zealand,1977,17.1,1.42,3120200,4950,Oceania,8.507142855562735
Pakistan,1977,171.4,0.06,72451105,208,Asia,5.337538079701318
Peru,1977,135.0,0.36,16224613,896,South America,6.79794041297493
Philippines,1977,81.6,0.25,44646518,499,Asia,6.212606095751519
Poland,1977,26.3,0.46,34689050,921,Europe,6.825460036255307
Portugal,1977,35.6,0.75,9455675,2267,Europe,7.726212650507529
Qatar,1977,42.4,2.27,227177,15923,Asia,9.675519883856426
Romania,1977,38.7,0.76,21756096,10033,Europe,9.213634938925614
Saudi Arabia,1977,114.3,3.05,8755219,8473,Asia,9.044639916198465
Singapore,1977,15.2,3.75,2325300,2846,Asia,7.953669778649798
Slovak Republic,1977,8.1,1.41,4840501,28898,Europe,10.271527667553556
Sweden,1977,9.4,3.4,8251540,11448,Europe,9.345570321236286
Thailand,1977,70.2,0.22,42843802,461,Asia,6.133398042996649
Turkmenistan,1977,133.1,3.35,2659019,14529,Asia,9.583901931071338
Ukraine,1977,27.6,1.22,49357430,10217,Europe,9.231808278591423
United States,1977,17.1,3.88,220239000,9452,North America,9.1539816383068
Uzbekistan,1977,23.3,1.77,14731709,8100,Asia,8.99961934066053
South Africa,1977,110.3,0.43,27199838,1666,Africa,7.418180822726788
United Arab Emirates,1978,43.6,3.23,805231,29526,Asia,10.293026510094034
Argentina,1978,51.2,0.86,27146121,3280,South America,8.09559870137819
Australia,1978,14.4,2.14,14358000,8252,Oceania,9.018210874191142
Austria,1978,18.1,1.59,7562305,8205,Europe,9.01249900352419
Azerbaijan,1978,42.3,1.73,5976150,10660,Asia,9.274253697719836
Bangladesh,1978,214.3,0.02,80007550,166,Asia,5.111987788356544
Bulgaria,1978,26.1,1.51,8814032,7219,Europe,8.88447171813916
Belarus,1978,30.5,0.86,9525000,4129,Europe,8.32579052588609
Brazil,1978,104.7,0.47,116664382,1716,South America,7.447751280047908
Canada,1978,14.2,3.67,23963203,9154,North America,9.121946221213587
Switzerland,1978,11.4,2.12,6281738,11191,Europe,9.322865162818028
Chile,1978,42.0,0.45,11137748,1435,South America,7.268920128193722
China,1978,70.1,0.1,956165000,156,Asia,5.049856007249537
Colombia,1978,65.8,0.27,25003608,930,South America,6.835184586147301
Germany,1978,17.1,2.01,78091820,9482,Europe,9.157150543462064
Denmark,1978,10.6,3.15,5104248,11825,Europe,9.377971213360134
Algeria,1978,173.8,0.26,17632645,1495,Africa,7.3098814858247865
Ecuador,1978,100.1,0.29,7712718,1545,South America,7.3427791893318455
Spain,1978,17.4,1.26,36864898,4356,Europe,8.37930948405285
Finland,1978,9.9,2.64,4752528,7628,Europe,8.93958096672031
France,1978,13.3,2.23,54486195,9299,Europe,9.137662146478197
United Kingdom,1978,15.7,1.67,56196504,5976,Europe,8.695506726812653
Greece,1978,22.4,1.24,9429959,4694,Europe,8.454040376410969
Hungary,1978,27.0,1.16,10684822,9292,Europe,9.1369090938903
Indonesia,1978,128.5,0.11,141250964,364,Asia,5.8971538676367405
India,1978,180.1,0.04,666267760,206,Asia,5.327876168789581
Ireland,1978,16.8,1.81,3329100,4399,Europe,8.389132521348719
Iceland,1978,10.9,2.69,223537,11236,Europe,9.326878188224134
Italy,1978,18.1,1.79,56155143,5610,Europe,8.632305998516742
Japan,1978,11.1,2.3,114913000,8820,Asia,9.084777149000837
Kazakhstan,1978,73.9,1.25,13750291,4222,Asia,8.348064228408266
"Korea, Rep.",1978,40.3,0.6,36969185,1405,Asia,7.247792581767846
Kuwait,1978,41.8,3.07,1329074,11664,Asia,9.36426245424844
Lithuania,1978,21.7,2.81,3379514,9110,Europe,9.117127990254003
Mexico,1978,78.1,0.63,64123997,1600,North America,7.3777589082278725
Malaysia,1978,34.6,0.45,12543892,1304,Asia,7.1731917424865985
Netherlands,1978,11.6,2.76,13941700,11179,Europe,9.321792297270326
Norway,1978,10.9,2.3,4058671,11462,Europe,9.346792495111682
New Zealand,1978,16.6,1.34,3121200,5936,Oceania,8.688790784847216
Pakistan,1978,169.3,0.06,74789330,238,Asia,5.472270673671475
Peru,1978,132.0,0.35,16638480,750,South America,6.620073206530356
Philippines,1978,81.1,0.25,45890739,561,Asia,6.329720905522696
Poland,1978,25.5,0.49,34965600,3165,Europe,8.059908334578276
Portugal,1978,32.4,0.77,9558250,2457,Europe,7.806696372521179
Qatar,1978,40.2,2.09,243624,16632,Asia,9.71908382953785
Romania,1978,37.5,0.84,21951464,11789,Europe,9.374922172292127
Saudi Arabia,1978,106.9,3.1,9210564,8714,Asia,9.072686206677387
Singapore,1978,15.2,3.8,2353600,3193,Asia,8.068716192714781
Slovak Republic,1978,18.0,1.45,4890125,29829,Europe,10.303236353648183
Sweden,1978,9.0,3.19,8275599,12620,Europe,9.443038136095204
Thailand,1978,66.9,0.24,43806715,548,Asia,6.306275286948016
Turkmenistan,1978,128.3,4.41,2726327,10385,Asia,9.248117736310213
Ukraine,1978,27.1,0.66,49536615,6303,Europe,8.74878098951311
United States,1978,16.3,3.94,222585000,10564,North America,9.265207273417023
Uzbekistan,1978,64.9,1.18,15154314,9261,Asia,9.13356731317027
South Africa,1978,104.8,0.44,27943445,1846,Africa,7.520776415062797
United Arab Emirates,1979,39.2,3.15,908452,34372,Asia,10.444997558433114
Argentina,1979,46.8,0.91,27584134,2510,South America,7.828038032125829
Australia,1979,13.6,2.15,14514000,9294,Oceania,9.137124309644923
Austria,1979,17.1,1.65,7549425,9793,Europe,9.189423123720795
Azerbaijan,1979,67.3,1.75,6071300,2165,Asia,7.68017564043659
Bangladesh,1979,210.0,0.02,81908151,190,Asia,5.247024072160486
Bulgaria,1979,24.9,1.55,8825940,19193,Europe,9.862300908205878
Belarus,1979,26.2,0.78,9584000,3415,Europe,8.13593277200489
